District.Id;3LC;City;Routes (Booking API & Tariff Search API);isCity;COD;COUNTRY
PAP339;WMX;WAMENA;YUNERI, TOLIKARA;No;No;INDONESIA
PAP338;WMX;WAMENA;YUKO, TOLIKARA;No;No;INDONESIA
WMXCONS2555;WMX;WAMENA;YUGUNGWI, LANNY JAYA;No;No;INDONESIA
DJJCONS2477;DJJ;JAYAPURA;YUGUMUAK, PUNCAK;No;No;INDONESIA
DJJCONS2470;DJJ;JAYAPURA;YOUTADI, PANIAI;No;No;INDONESIA
JTM662;LMJ;LUMAJANG;YOSOWILANGUN, LUMAJANG;No;Yes;INDONESIA
DJJCONS2453;DJJ;JAYAPURA;YOKARI, JAYAPURA;No;No;INDONESIA
WMXCONS2525;WMX;WAMENA;YOGOSEM, YAHUKIMO;No;No;INDONESIA
WMXCONS2508;WMX;WAMENA;YILUK, LANNY JAYA;No;No;INDONESIA
WMXCONS2501;WMX;WAMENA;YIGINUA, LANNY JAYA;No;No;INDONESIA
PAP336;WMX;WAMENA;YIGI, NDUGA;No;No;INDONESIA
WMXCONS2484;WMX;WAMENA;YENGGELO, NDUGA;No;No;INDONESIA
PAP335;DJJ;JAYAPURA;YENDIDORI, BIAK NUMFOR;No;No;INDONESIA
PBR167;SOQ;SORONG;YEMBUN, TAMBRAUW;No;No;INDONESIA
PAP334;DJJ;JAYAPURA;YAWOSI, BIAK NUMFOR;No;No;INDONESIA
DJJCONS2405;DJJ;JAYAPURA;YAWAKUKAT, KEPULAUAN YAPEN;No;No;INDONESIA
PAP403;DJJ;JAYAPURA;YAUR, NABIRE;No;No;INDONESIA
PAP402;DJJ;JAYAPURA;YATAMO, PANIAI;No;No;INDONESIA
PAP331N;NBX;NABIRE;YARO, NABIRE;No;No;INDONESIA
DJJCONS2395;DJJ;JAYAPURA;YAPSI, JAYAPURA;No;No;INDONESIA
DJJCONS2392;DJJ;JAYAPURA;YAPEN UTARA, KEPULAUAN YAPEN;No;No;INDONESIA
DJJCONS2391;DJJ;JAYAPURA;YAPEN TIMUR, KEPULAUAN YAPEN;No;No;INDONESIA
DJJCONS2390;DJJ;JAYAPURA;YAPEN SELATAN, KEPULAUAN YAPEN;No;No;INDONESIA
DJJCONS2389;DJJ;JAYAPURA;YAPEN BARAT, KEPULAUAN YAPEN;No;No;INDONESIA
PAP325;MKQ;MERAUKE;YANIRUMA, BOVEN DIGOEL;No;No;INDONESIA
KNGCONS92;KNG;KAIMANA;YAMOR, KAIMANA;No;No;INDONESIA
DJJCONS2379;DJJ;JAYAPURA;YAMONERI, PUNCAK JAYA;No;No;INDONESIA
PAP353;DJJ;JAYAPURA;YAMO, PUNCAK JAYA;No;No;INDONESIA
DJJCONS2370;DJJ;JAYAPURA;YAMBI, PUNCAK JAYA;No;No;INDONESIA
PAP323;WMX;WAMENA;YALENGGA, JAYAWIJAYA;No;No;INDONESIA
WMXCONS2427;WMX;WAMENA;YAL, NDUGA;No;No;INDONESIA
PAP322;MKQ;MERAUKE;YAKOMI, MAPPI;No;No;INDONESIA
WMXCONS2423;WMX;WAMENA;YAHULIAMBUT, YAHUKIMO;No;No;INDONESIA
DJJCONS2350;DJJ;JAYAPURA;YAGAI, PANIAI;No;No;INDONESIA
DJJCONS2349;DJJ;JAYAPURA;YAFFI, KEEROM;No;No;INDONESIA
BKS151;MPC;MUKO MUKO;XIV KOTO, MUKO MUKO;No;Yes;INDONESIA
RIA198;KMP;KAMPAR;XIII KOTO KAMPAR, KAMPAR;No;No;INDONESIA
SMB219;SOX;SOLOK;X KOTO SINGKARAK, SOLOK;No;No;INDONESIA
SMB218;SOX;SOLOK;X KOTO DIATAS, SOLOK;No;No;INDONESIA
BUKSC262;BUK;BUKITTINGGI;X KOTO, TANAH DATAR;No;Yes;INDONESIA
WMXCONS2402;WMX;WAMENA;WUTPAGA, NDUGA;No;No;INDONESIA
WMXCONS2399;WMX;WAMENA;WUSI, NDUGA;No;No;INDONESIA
WMXCONS2398;WMX;WAMENA;WUSAMA, YAHUKIMO;No;No;INDONESIA
JTG573;WNR;WONOGIRI;WURYANTORO, WONOGIRI;No;Yes;INDONESIA
WMXCONS2385;WMX;WAMENA;WUNIM, TOLIKARA;No;No;INDONESIA
JTM661;MDN;MADIUN;WUNGU, MADIUN;No;Yes;INDONESIA
KDICONS984;KDI;KENDARI;WUNDULAKO, KOLAKA;No;Yes;INDONESIA
JTM660;JBB;JEMBER;WULUHAN, JEMBER;No;Yes;INDONESIA
NTT329;KOE;KUPANG;WULLA WAIJELU, SUMBA TIMUR;No;No;INDONESIA
NTT301;LKA;LARANTUKA;WULANGGITANG, FLORES TIMUR;No;Yes;INDONESIA
NTT310;KOE;KUPANG;WULANDONI, LEMBATA;No;No;INDONESIA
PAP320;WMX;WAMENA;WUGI, TOLIKARA;No;No;INDONESIA
AMQCONS1049;AMQ;AMBON;WUAR LABOBAR, KEPULAUAN TANIMBAR (MALUKU TENGGARA BARAT);No;No;INDONESIA
SLR191;KDI;KENDARI;WUA-WUA, KENDARI;No;Yes;INDONESIA
JTM659;GSK;GRESIK;WRINGINANOM, GRESIK;No;Yes;INDONESIA
JTM658;SBO;BONDOWOSO;WRINGIN, BONDOWOSO;No;Yes;INDONESIA
NAD289;MEQ;MEULABOH;WOYLA TIMUR, ACEH BARAT;No;Yes;INDONESIA
NAD288;MEQ;MEULABOH;WOYLA BARAT, ACEH BARAT;No;Yes;INDONESIA
NAD287;MEQ;MEULABOH;WOYLA, ACEH BARAT;No;Yes;INDONESIA
PAP319;WMX;WAMENA;WOUMA, JAYAWIJAYA;No;Yes;INDONESIA
LUYAB177;LUY;LUWU;WOTU, LUWU TIMUR;No;Yes;INDONESIA
NTT298;LKA;LARANTUKA;WOTAN ULUMANDO, FLORES TIMUR;No;No;INDONESIA
PAP318;WMX;WAMENA;WOSAK, NDUGA;No;No;INDONESIA
